NCPL,Netcapital Inc,2023-06-28,2023-04-30,0,USD
NG,Novagold Resources Inc,2023-06-27,2023-05-31,-0.02,USD
NKE,Nike Inc - Class B,2023-06-29,2023-05-31,0.67,USD
NMRD,Nemaura Medical Inc,2023-06-27,2023-03-31,-0.16,USD
NNDM,Nano Dimension Ltd,2023-06-29,2023-03-31,,USD
NPSNY,NPSNY,2023-06-27,2023-03-31,0,USD
OCEL,OCEL,2023-06-28,2023-03-31,0,USD
ORBT,ORBT,2023-06-26,2023-03-31,,USD
PAYX,Paychex Inc,2023-06-29,2023-05-31,0.97,USD
PEARQ,PEARQ,2023-06-26,2023-03-31,-0.1608,USD
PETV,PetVivo Holdings Inc,2023-06-27,2023-03-31,-0.21,USD
PFDR,PFDR,2023-06-28,2023-03-31,0.01,USD
PMCB,PharmaCyte Biotech Inc,2023-06-28,2023-04-30,-0.09,USD
PRGS,Progress Software Corp,2023-06-29,2023-05-31,0.9,USD
PRTYQ,PRTYQ,2023-06-26,2023-03-31,0.15,USD
PTRC,PTRC,2023-06-28,2023-04-30,0,USD
RAD,Rite Aid Corp,2023-06-29,2023-05-31,-1.46,USD
RGUS,RGUS,2023-06-28,2023-04-30,0,USD
ROIV,Roivant Sciences Ltd,2023-06-26,2023-03-31,-0.36,USD
SCHN,Schnitzer Steel Industries Inc - Class A,2023-06-27,2023-05-31,0.64,USD
SDXAY,SDXAY,2023-06-30,2023-05-31,0,EUR
SGH,SMART Global Holdings Inc,2023-06-29,2023-05-31,0.4,USD
SIF,SIFCO Industries Inc,2023-06-26,2023-03-31,,USD
SJR,SJR,2023-06-28,2023-05-31,0.384,CAD
SMPL,Simply Good Foods Company,2023-06-29,2023-05-31,0.41,USD
SNX,TD Synnex Corp,2023-06-27,2023-05-31,2.55,USD
SRBCF,SRBCF,2023-06-26,2023-04-30,,CAD
SSEBF,SSEBF,2023-06-27,2023-04-30,,CAD
STZ,Constellation Brands Inc - Class A,2023-06-30,2023-05-31,2.83,USD
SUWN,SUWN,2023-06-28,2023-04-30,0,USD
TC,TuanChe Ltd,2023-06-25,2023-03-31,,CNY
TCYSF,TCYSF,2023-06-27,2023-04-30,,USD
TGAN,Transphorm Inc,2023-06-27,2023-03-31,-0.11,USD
TGIFF,TGIFF,2023-06-29,2023-04-30,,CAD
TKXHF,TKXHF,2023-06-30,2023-03-31,,USD
TPCSD,TPCSD,2023-06-29,2023-03-31,0,USD
UNF,Unifirst Corp,2023-06-28,2023-05-31,1.79,USD
USAU,U.S. Gold Corp,2023-06-28,2023-04-30,-0.25,USD
WBA,Walgreens Boots Alliance Inc,2023-06-27,2023-05-31,1.07,USD
WBNEF,WBNEF,2023-06-30,2023-03-31,,USD
WETG,WeTrade Group,2023-06-26,2023-03-31,,USD
WOR,Worthington Industries Inc,2023-06-28,2023-05-31,1.87,USD
WSRRF,WSRRF,2023-06-28,2023-04-30,,CAD
