symbol,name,reportDate,fiscalDateEnding,estimate,currency
CCNCF,CCNCF,2023-08-01,2023-06-30,,CAD
CCNE,CNB Financial Corp (PA),2023-07-17,2023-06-30,0.61,USD
CCO,Clear Channel Outdoor Holdings Inc,2023-08-07,2023-06-30,-0.06,USD
CCOEY,CCOEY,2023-08-02,2023-06-30,0.4405,USD
CCOI,Cogent Communications Holdings Inc,2023-08-02,2023-06-30,0.02,USD
CCORF,CCORF,2023-08-02,2023-06-30,,CAD
CCOZY,CCOZY,2023-08-24,2023-06-30,1.23,CNY
CCPUF,CCPUF,2023-08-23,2023-06-30,0,CAD
CCRD,CoreCard Corporation - Class A,2023-08-01,2023-06-30,0.2,USD
CCRN,Cross Country Healthcares Inc,2023-08-01,2023-06-30,0.61,USD
CCS,Century Communities Inc,2023-07-25,2023-06-30,0.96,USD
CCSI,Consensus Cloud Solutions Inc,2023-08-08,2023-06-30,1.24,USD
CCU,Compania Cervecerias Unidas S.A.,2023-08-09,2023-06-30,-22.98,USD
CCUR,CCUR,2023-09-12,2023-06-30,0,USD
CD,Chindata Group Holdings Ltd,2023-08-23,2023-06-30,0.04,CNY
CDAK,CDAK,2023-08-02,2023-06-30,-0.2963,USD
CDAKQ,CDAKQ,2023-08-02,2023-06-30,-0.2963,USD
CDAY,Ceridian HCM Holding Inc,2023-08-01,2023-06-30,0.38,USD
CDDRF,CDDRF,2023-08-02,2023-06-30,,CAD
CDE,Coeur Mining Inc,2023-08-01,2023-06-30,-0.04,USD
CDEVY,CDEVY,2023-08-09,2023-06-30,0,SGD
CDIIQ,CDIIQ,2023-08-15,2023-06-30,0,USD
CDLX,Cardlytics Inc,2023-07-31,2023-06-30,-0.42,USD
CDMO,Avid Bioservices Inc,2023-09-04,2023-07-31,0.01,USD
CDNA,Caredx Inc,2023-08-02,2023-06-30,-0.31,USD
CDNAF,CDNAF,2023-08-09,2023-06-30,,CAD
CDNS,Cadence Design Systems Inc,2023-07-24,2023-06-30,1.18,USD
CDPYF,CDPYF,2023-08-08,2023-06-30,,CAD
CDRE,Cadre Holdings Inc,2023-08-09,2023-06-30,0.17,USD
CDRO,Codere Online Luxembourg S.A,2023-08-30,2023-06-30,,EUR
CDTI,CDTI,2023-08-16,2023-06-30,0,USD
CDTX,Cidara Therapeutics Inc,2023-08-07,2023-06-30,-0.13,USD
CDUAF,CDUAF,2023-07-26,2023-06-30,,CAD
CDVIQ,CDVIQ,2023-08-07,2023-06-30,0,USD
CDW,CDW Corp,2023-08-01,2023-06-30,2.34,USD
CDXC,Chromadex Corp,2023-08-08,2023-06-30,-0.04,USD
CDXFF,CDXFF,2023-08-24,2023-06-30,,CAD
CDXI,CDXI,2023-08-14,2023-06-30,0,USD
CDXS,Codexis Inc,2023-08-02,2023-06-30,-0.23,USD
CDZI,Cadiz Inc,2023-08-10,2023-06-30,-0.06,USD
CE,Celanese Corp - Series A,2023-07-26,2023-06-30,2.59,USD
CEAD,CEA Industries Inc,2023-08-09,2023-06-30,,USD
CECE,CECE,2023-08-07,2023-06-30,,USD
CECO,Ceco Environmental Corp,2023-08-07,2023-06-30,0.15,USD
CEFC,CEFC,2023-07-24,2023-06-30,,USD
CEG,Constellation Energy Corporation,2023-08-03,2023-06-30,0.8035,USD
CEIX,Consol Energy Inc,2023-08-02,2023-06-30,4.7,USD
CELC,Celcuity Inc,2023-08-09,2023-06-30,-0.6,USD
CELH,Celsius Holdings Inc,2023-08-07,2023-06-30,0.28,USD
CELJF,CELJF,2023-08-17,2023-06-30,0,ILS
CELL,PhenomeX Inc,2023-08-07,2023-06-30,-0.3,USD
CELU,Celularity Inc - Class A,2023-08-07,2023-06-30,-0.03,USD
CELZ,Creative Medical Technology Holdings Inc,2023-08-07,2023-06-30,-0.83,USD
CEMI,CEMI,2023-08-02,2023-06-30,,USD
CENT,Central Garden & Pet Company,2023-08-01,2023-06-30,1.47,USD
CENTA,Central Garden & Pet Co. - Class A,2023-08-02,2023-06-30,1.48,USD
CENX,Century Aluminum Company,2023-08-07,2023-06-30,0.01,USD
CEPU,Central Puerto,2023-08-14,2023-06-30,0,ARS
CEQP,Crestwood Equity Partners LP,2023-07-24,2023-06-30,0.38,USD
CERE,Cerevel Therapeutics Holdings Inc,2023-07-31,2023-06-30,-0.65,USD
CERGF,CERGF,2023-09-07,2023-06-30,,USD
CERS,Cerus Corp,2023-08-02,2023-06-30,-0.06,USD
CERT,Certara Inc,2023-08-07,2023-06-30,0.13,USD
CESDF,CESDF,2023-08-09,2023-06-30,,CAD
CETEF,CETEF,2023-08-14,2023-06-30,,CAD
CETX,Cemtrex Inc,2023-08-14,2023-06-30,-0.34,USD
CETY,Clean Energy Technologies Inc,2023-08-21,2023-06-30,,USD
CETYD,CETYD,2023-08-21,2023-06-30,,USD
CEV,Eaton Vance California Municipal Income Trust,2023-08-08,2023-05-31,0,USD
CEVA,Ceva Inc,2023-08-07,2023-06-30,0.07,USD
CF,CF Industries Holdings Inc,2023-08-02,2023-06-30,2.43,USD
CFB,Crossfirst Bankshares Inc,2023-07-17,2023-06-30,0.35,USD
CFBK,CF Bankshares Inc,2023-08-01,2023-06-30,0.61,USD
CFFI,C & F Financial Corp,2023-07-19,2023-06-30,,USD
CFFN,Capitol Federal Financial,2023-07-25,2023-04-30,0.06,USD
CFG,Citizens Financial Group Inc,2023-07-19,2023-06-30,1.06,USD
CFLT,Confluent Inc Class A,2023-08-01,2023-06-30,-0.06,USD
CFMS,Conformis Inc,2023-08-07,2023-06-30,-1.28,USD
CFNB,CFNB,2023-08-02,2023-06-30,0,USD
CFOK,CFOK,2023-08-07,2023-06-30,,USD
CFOO,CFOO,2023-08-15,2023-06-30,,USD
CFPUF,CFPUF,2023-07-26,2023-06-30,,CAD
CFPZF,CFPZF,2023-07-26,2023-06-30,,CAD
CFR,Cullen Frost Bankers Inc,2023-07-26,2023-06-30,2.43,USD
CFRX,ContraFect Corp,2023-08-14,2023-06-30,-1.81,USD
CFWFF,CFWFF,2023-07-24,2023-06-30,,CAD
CFXTF,CFXTF,2023-08-07,2023-06-30,,CAD
CG,Carlyle Group Inc (The),2023-07-26,2023-06-30,0.64,USD
CGA,China Green Agriculture Inc,2023-08-30,2023-06-30,0,USD
CGAU,Centerra Gold Inc,2023-08-08,2023-06-30,-0.02,USD
CGBD,Carlyle Secured Lending Inc,2023-08-07,2023-06-30,0.4698,USD
CGC,Canopy Growth Corporation,2023-08-03,2023-06-30,-0.1246,CAD
CGDXF,CGDXF,2023-07-28,2023-06-30,,USD
CGEAF,CGEAF,2023-07-13,2023-05-31,,USD
CGECF,CGECF,2023-07-13,2023-05-31,,USD
CGEM,Cullinan Oncology Inc,2023-08-08,2023-06-30,-0.97,USD
CGEMY,CGEMY,2023-07-28,2023-06-30,0,EUR
CGEN,Compugen Ltd,2023-08-02,2023-06-30,-0.12,USD
CGFEF,CGFEF,2023-08-24,2023-06-30,,CNY
CGGYY,CGGYY,2023-07-27,2023-06-30,0,USD
CGIP,CGIP,2023-09-01,2023-06-30,0,USD
CGJTF,CGJTF,2023-07-25,2023-06-30,,CAD
CGNX,Cognex Corp,2023-07-31,2023-06-30,0.28,USD
CGRN,Capstone Green Energy Corp,2023-08-09,2023-06-30,-0.115,USD
CGTX,Cognition Therapeutics Inc,2023-08-08,2023-06-30,-0.1898,USD
CGUSY,CGUSY,2023-07-27,2023-06-30,0,EUR
CGXEF,CGXEF,2023-08-07,2023-06-30,,USD
CHALF,CHALF,2023-08-21,2023-06-30,,USD
CHBAY,CHBAY,2023-08-04,2023-06-30,0.8875,JPY
CHCI,Comstock Holding Co. Inc - Class A,2023-08-14,2023-06-30,,USD
CHCJY,CHCJY,2023-08-30,2023-06-30,0.9206,CNY
CHCO,City Holding Company,2023-07-19,2023-06-30,1.92,USD
CHCT,Community Healthcare Trust Inc,2023-07-31,2023-06-30,0.21,USD
CHD,Church & Dwight Co. Inc,2023-07-27,2023-06-30,0.78,USD
CHDN,Churchill Downs Inc,2023-07-25,2023-06-30,2.65,USD
CHE,Chemed Corp,2023-07-25,2023-06-30,5.09,USD
CHEF,Chefs` Warehouse Inc,2023-07-25,2023-06-30,0.47,USD
CHEK,Check-Cap Ltd,2023-08-01,2023-06-30,-0.45,USD
CHFHY,CHFHY,2023-08-29,2023-06-30,0,USD
CHGG,Chegg Inc,2023-08-02,2023-06-30,0.28,USD
CHGS,CHGS,2023-08-14,2023-06-30,0,USD
CHH,Choice Hotels International Inc,2023-08-02,2023-06-30,1.69,USD
CHHHF,CHHHF,2023-08-14,2023-06-30,,CAD
CHK,Chesapeake Energy Corp - New,2023-07-31,2023-06-30,0.65,USD
CHKP,Check Point Software Technolgies,2023-07-31,2023-06-30,1.89,USD
CHKR,CHKR,2023-08-04,2023-06-30,0,USD
CHMG,Chemung Financial Corp,2023-07-19,2023-06-30,1.26,USD
CHMI,Cherry Hill Mortgage Investment Corporation,2023-08-01,2023-06-30,0.21,USD
CHNC,CHNC,2023-08-02,2023-05-31,0,USD
CHNGQ,CHNGQ,2023-08-17,2023-06-30,0,USD
CHPT,ChargePoint Holdings Inc - Class A,2023-08-07,2023-06-30,-0.16,USD
CHRA,CHRA,2023-08-14,2023-06-30,,USD
CHRD,Chord Energy Corp - New,2023-08-01,2023-06-30,4.83,USD
CHRRF,CHRRF,2023-08-02,2023-06-30,,CAD
CHRS,Coherus Biosciences Inc,2023-08-02,2023-06-30,-0.59,USD
CHRW,C.H. Robinson Worldwide Inc,2023-07-25,2023-06-30,0.99,USD
CHSCP,CHS Inc,2023-07-05,2023-05-31,,USD
CHSTY,CHSTY,2023-08-30,2023-06-30,0,CNY
CHT,Chunghwa Telecom,2023-07-28,2023-06-30,0.4043,TWD
CHTR,Charter Communications Inc - Class A,2023-07-27,2023-06-30,8.01,USD
CHUY,Chuy`s Holdings Inc,2023-08-02,2023-06-30,0.53,USD
CHVKF,CHVKF,2023-08-28,2023-06-30,,CNY
CHWWF,CHWWF,2023-08-02,2023-06-30,,CAD
CHWY,Chewy Inc - Class A,2023-08-28,2023-07-31,-0.05,USD
CHX,ChampionX Corporation,2023-07-24,2023-06-30,0.44,USD
CHYHY,CHYHY,2023-07-06,2023-05-31,0.1364,EUR
CI,Cigna Group (The),2023-08-02,2023-06-30,6.03,USD
CIA,Citizens Inc - Class A,2023-08-02,2023-06-30,,USD
CIB,Bancolombia S.A.,2023-08-10,2023-06-30,1.47,COP
CIBH,CIBH,2023-07-13,2023-06-30,,USD
CICHY,CICHY,2023-08-30,2023-06-30,1.07,CNY
CICOY,CICOY,2023-09-01,2023-06-30,0.1965,CNY
CIDM,CIDM,2023-06-26,2023-03-31,0.02,USD
CIDM,CIDM,2023-08-14,2023-06-30,-0.005,USD
CIEN,CIENA Corp,2023-08-30,2023-07-31,0.51,USD
CIFR,Cipher Mining Inc,2023-08-07,2023-06-30,-0.02,USD
CIG,Cia Energetica De Minas Gerais,2023-08-03,2023-06-30,0.05,USD
CIG-C,Cia Energetica De Minas Gerais,2023-08-03,2023-06-30,0.1,BRL
CIGI,Colliers International Group Inc,2023-08-01,2023-06-30,1.44,USD
CIH,CIH,2023-08-14,2023-06-30,,USD
CIM,Chimera Investment Corp,2023-08-02,2023-06-30,0.17,USD
CINF,Cincinnati Financial Corp,2023-07-25,2023-06-30,0.88,USD
CING,Cingulate Inc,2023-08-10,2023-06-30,-0.3533,USD
CINT,CI&T Inc Class A,2023-08-21,2023-06-30,0.08,BRL
CIO,City Office REIT Inc,2023-08-02,2023-06-30,-0.06,USD
CION,CION Invt Corp,2023-08-07,2023-06-30,0.45,USD
CIPI,CIPI,2023-08-07,2023-06-30,,USD
CISO,CISO Global Inc,2023-08-30,2023-06-30,-0.04,USD
CIVB,Civista Bancshares Inc,2023-07-26,2023-06-30,0.73,USD
CIVI,Civitas Resources Inc New,2023-08-01,2023-06-30,1.95,USD
CIX,Compx International Inc - Class A,2023-07-31,2023-06-30,,USD
CIXX,CIXX,2023-08-09,2023-06-30,0.594,USD
CIXXF,CIXXF,2023-08-09,2023-06-30,0.594,CAD
CIZN,Citizens Holding Company,2023-07-24,2023-06-30,,USD
CJCFF,CJCFF,2023-09-21,2023-07-31,,CAD
CJIMF,CJIMF,2023-08-14,2023-06-30,,CAD
CJJD,China Jo-Jo Drugstores Inc,2023-08-11,2023-06-30,0,USD
CJPRY,CJPRY,2023-07-28,2023-06-30,0.1102,USD
CJREF,CJREF,2023-06-29,2023-05-31,0.04,CAD
CKHUY,CKHUY,2023-08-03,2023-06-30,0,HKD
CKISY,CKISY,2023-08-02,2023-06-30,0,HKD
CKPT,Checkpoint Therapeutics Inc,2023-08-10,2023-06-30,-0.76,USD
CL,Colgate-Palmolive Company,2023-07-27,2023-06-30,0.74,USD
CLAR,Clarus Corp,2023-07-31,2023-06-30,0.16,USD
CLB,Core Laboratories Inc,2023-07-25,2023-06-30,0.21,USD
CLBK,Columbia Financial Inc,2023-07-25,2023-06-30,0.14,USD
CLBT,Cellebrite DI Ltd,2023-08-10,2023-06-30,0.016,USD
CLCFF,CLCFF,2023-08-09,2023-05-31,,CAD
CLCN,CLCN,2023-08-14,2023-06-30,0,USD
CLCO,Cool Company Ltd,2023-08-23,2023-06-30,0.525,USD
CLDT,Chatham Lodging Trust,2023-08-02,2023-06-30,0.11,USD
CLDX,Celldex Therapeutics Inc,2023-08-07,2023-06-30,-0.67,USD
CLF,Cleveland-Cliffs Inc,2023-07-20,2023-06-30,0.75,USD
CLFD,Clearfield Inc,2023-07-26,2023-06-30,0.09,USD
CLGCF,CLGCF,2023-08-24,2023-06-30,,CAD
CLGN,CollPlant Biotechnologies Ltd New,2023-08-23,2023-06-30,-0.37,USD
CLH,Clean Harbors Inc,2023-08-01,2023-06-30,2.09,USD
CLHI,CLHI,2023-07-12,2023-05-31,0,USD
CLIR,ClearSign Technologies Corp,2023-08-30,2023-06-30,-0.04,USD
CLKFF,CLKFF,2023-08-09,2023-06-30,,CAD
CLKXF,CLKXF,2023-08-02,2023-06-30,,CAD
CLLS,Cellectis,2023-08-03,2023-06-30,-0.4412,USD
CLMB,Climb Global Solutions Inc,2023-08-01,2023-06-30,0.45,USD
CLMT,Calumet Specialty Products Partners L.P.,2023-08-03,2023-06-30,0.08,USD
CLNE,Clean Energy Fuels Corp,2023-08-02,2023-06-30,-0.02,USD
CLNFF,CLNFF,2023-08-10,2023-06-30,,USD
CLNN,Clene Inc,2023-08-14,2023-06-30,-0.12,USD
CLOV,Clover Health Investments Corp - Class A,2023-08-07,2023-06-30,-0.15,USD
CLPBY,CLPBY,2023-08-17,2023-06-30,0.0889,USD
CLPR,Clipper Realty Inc,2023-08-07,2023-06-30,-0.05,USD
CLPT,ClearPoint Neuro Inc,2023-08-07,2023-06-30,-0.19,USD
CLRB,Cellectar Biosciences Inc,2023-08-03,2023-06-30,-0.53,USD
CLRD,CLRD,2023-08-15,2023-06-30,0,USD
CLRI,CLRI,2023-08-14,2023-06-30,,USD
CLRO,ClearOne Inc,2023-08-07,2023-06-30,,USD
CLS,Celestica Inc,2023-07-24,2023-06-30,0.47,USD
CLSD,Clearside Biomedical Inc,2023-08-07,2023-06-30,-0.14,USD
CLSH,CLSH,2023-08-23,2023-05-31,,USD
CLSK,Cleanspark Inc,2023-08-07,2023-06-30,-0.27,USD
CLVR,Clever Leaves Holdings Inc,2023-08-09,2023-06-30,-0.09,USD
CLVS,CLVS,2023-08-07,2023-06-30,,USD
CLVSQ,CLVSQ,2023-08-07,2023-06-30,,USD
CLVT,Clarivate Plc,2023-08-07,2023-06-30,0.2,USD
CLW,Clearwater Paper Corp,2023-07-31,2023-06-30,1.18,USD
CLWY,CLWY,2023-08-02,2023-06-30,0,USD
CLX,Clorox Company,2023-08-01,2023-06-30,1.15,USD
CLXT,Calyxt Inc,2023-08-02,2023-06-30,-0.6,USD
CLZNY,CLZNY,2023-07-28,2023-06-30,0.4092,CHF
CM,Canadian Imperial Bank Of Commerce,2023-08-23,2023-07-31,1.3,USD
CMA,Comerica Inc,2023-07-21,2023-06-30,1.91,USD
CMAX,CareMax Inc - Class A,2023-08-07,2023-06-30,-0.07,USD
CMBM,Cambium Networks Corp,2023-08-02,2023-06-30,0.21,USD
CMCL,Caledonia Mining Corporation Plc,2023-08-09,2023-06-30,,USD
CMCM,Cheetah Mobile Inc,2023-07-24,2023-06-30,,CNY
CMCO,Columbus Mckinnon Corp,2023-07-26,2023-06-30,0.63,USD
CMCSA,Comcast Corp - Class A,2023-07-27,2023-06-30,0.99,USD
CMCT,Creative Media & Community Trust,2023-08-07,2023-06-30,-0.4,USD
CMDRF,CMDRF,2023-08-15,2023-06-30,,CAD
CMDXF,CMDXF,2023-08-09,2023-06-30,,CAD
CME,CME Group Inc - Class A,2023-07-26,2023-06-30,2.08,USD
CMFO,CMFO,2023-08-17,2023-06-30,0,USD
CMG,Chipotle Mexican Grill,2023-07-26,2023-06-30,12.19,USD
CMGGF,CMGGF,2023-07-11,2023-06-30,0.051,EGP
CMGO,CMGO,2023-08-14,2023-06-30,,USD
CMGR,CMGR,2023-08-15,2023-06-30,,USD
CMI,Cummins Inc,2023-07-31,2023-06-30,5.25,USD
CMLS,Cumulus Media Inc - Class A,2023-08-01,2023-06-30,-0.38,USD
CMMB,Chemomab Therapeutics Ltd,2023-08-10,2023-06-30,-0.03,USD
CMP,Compass Minerals International Inc,2023-08-02,2023-06-30,-0.1,USD
CMPGY,CMPGY,2023-07-25,2023-06-30,0,GBP
CMPO,CompoSecure Inc - Class A,2023-08-02,2023-06-30,0.25,USD
CMPR,Cimpress plc,2023-07-26,2023-06-30,0.24,USD
CMPS,Compass Pathways Plc,2023-08-09,2023-06-30,-0.6945,USD
CMPX,Compass Therapeutics Inc,2023-07-31,2023-06-30,-0.0838,USD
CMRE,Costamare Inc,2023-07-26,2023-06-30,0.65,USD
CMRX,Chimerix Inc,2023-08-07,2023-06-30,-0.24,USD
CMS,CMS Energy Corporation,2023-07-26,2023-06-30,0.67,USD
CMT,Core Molding Technologies,2023-08-07,2023-06-30,0.42,USD
CMTG,Claros Mortgage Trust Inc,2023-07-31,2023-06-30,0.35,USD
CMTOY,CMTOY,2023-08-07,2023-06-30,0.0353,COP
CMUV,CMUV,2023-07-17,2023-06-30,,USD
CNA,CNA Financial Corp,2023-07-31,2023-06-30,1.21,USD
CNAF,CNAF,2023-07-25,2023-06-30,0,USD
CNBB,CNBB,2023-07-13,2023-06-30,,USD
CNC,Centene Corp,2023-07-28,2023-06-30,2.03,USD
CNCE,CNCE,2023-08-02,2023-06-30,,USD
CNDT,Conduent Inc,2023-07-31,2023-06-30,-0.01,USD
CNF,CNFinance Holdings Ltd,2023-08-22,2023-06-30,0.01,USD
CNFR,Conifer Holdings Inc,2023-08-08,2023-06-30,0.02,USD
CNGO,CNGO,2023-08-09,2023-06-30,,USD
CNHI,CNH Industrial NV,2023-07-28,2023-06-30,0.48,USD
CNI,Canadian National Railway Company,2023-07-24,2023-06-30,1.47,USD
CNIKF,CNIKF,2023-06-26,2023-04-30,,CAD
CNK,Cinemark Holdings Inc,2023-08-03,2023-06-30,0.52,USD
CNLFF,CNLFF,2023-08-10,2023-06-30,,CAD
CNM,Core & Main Inc Class A,2023-09-01,2023-06-30,0.67,USD
CNMD,Conmed Corp,2023-07-25,2023-06-30,0.79,USD
CNNE,Cannae Holdings Inc,2023-08-07,2023-06-30,-0.03,USD
CNNED,CNNED,2023-08-09,2023-06-30,0.45,USD
CNNEF,CNNEF,2023-08-09,2023-06-30,0.45,USD
CNNRF,CNNRF,2023-08-22,2023-06-30,,CAD
CNO,CNO Financial Group Inc,2023-07-31,2023-06-30,0.71,USD
CNOB,ConnectOne Bancorp Inc,2023-07-26,2023-06-30,0.54,USD
CNP,Centerpoint Energy Inc,2023-07-31,2023-06-30,0.3,USD
CNPOF,CNPOF,2023-08-28,2023-06-30,,USD
CNPRF,CNPRF,2023-08-09,2023-06-30,,CAD
CNQ,Canadian Natural Resources Ltd,2023-08-02,2023-06-30,0.97,USD
CNRD,CNRD,2023-08-14,2023-06-30,,USD
CNRIF,CNRIF,2023-06-23,2023-05-31,,USD
CNS,Cohen & Steers Inc,2023-07-18,2023-06-30,0.72,USD
CNSL,Consolidated Communications Holdings Inc,2023-07-31,2023-06-30,-0.26,USD
CNSP,Cns Pharmaceuticals Inc,2023-08-14,2023-06-30,,USD
CNSWF,CNSWF,2023-08-02,2023-06-30,12.77,USD
CNTA,Centessa Pharmaceuticals plc,2023-08-14,2023-06-30,-0.47,USD
CNTFY,CNTFY,2023-08-23,2023-06-30,0,USD
CNTG,Centogene NV,2023-07-13,2023-06-30,-0.3682,EUR
CNTMF,CNTMF,2023-08-28,2023-06-30,,USD
CNTTQ,CNTTQ,2023-08-15,2023-06-30,0,CAD
CNTX,Context Therapeutics Inc,2023-08-10,2023-06-30,-0.2,USD
CNTY,Century Casinos Inc,2023-08-08,2023-06-30,0.16,USD
CNVS,Cineverse Corp,2023-06-29,2023-03-31,0.4,USD
CNVS,Cineverse Corp,2023-08-14,2023-06-30,-0.01,USD
CNVVY,CNVVY,2023-08-02,2023-06-30,0,USD
CNX,CNX Resources Corp,2023-07-26,2023-06-30,0.37,USD
CNXC,Concentrix Corporation,2023-06-28,2023-05-31,2.52,USD
CNXN,PC Connection Inc,2023-08-02,2023-06-30,0.68,USD
CO,CO,2023-07-03,2023-06-30,,CNY
COCO,Vita Coco Company Inc (The),2023-08-09,2023-06-30,0.1777,USD
COCP,Cocrystal Pharma Inc,2023-08-14,2023-06-30,-0.58,USD
CODA,Coda Octopus Group Inc,2023-09-12,2023-07-31,0.12,USD
CODI,Compass Diversified Holdings,2023-08-01,2023-06-30,0.39,USD
CODX,Co-Diagnostics Inc,2023-08-09,2023-06-30,-0.24,USD
CODYY,CODYY,2023-07-26,2023-06-30,0,EUR
COE,51 Talk Online Education Group,2023-08-28,2023-06-30,,USD
COF,Capital One Financial Corp,2023-07-19,2023-06-30,3.12,USD
COFS,Choiceone Financial Services Inc,2023-07-25,2023-06-30,,USD
COGDF,COGDF,2023-08-24,2023-06-30,,CAD
COGT,Cogent Biosciences Inc,2023-08-07,2023-06-30,-0.55,USD
COHN,Cohen & Company Inc,2023-08-01,2023-06-30,,USD
COHR,Coherent Corp,2023-08-22,2023-06-30,0.37,USD
COHU,Cohu Inc,2023-07-26,2023-06-30,0.44,USD
COIN,Coinbase Global Inc - Class A,2023-08-07,2023-06-30,-0.76,USD
COKE,Coca-Cola Consolidated Inc,2023-07-31,2023-06-30,,USD
COLB,Columbia Banking System Inc,2023-07-19,2023-06-30,0.95,USD
COLD,Americold Realty Trust Inc,2023-08-03,2023-06-30,0.0226,USD
COLFF,COLFF,2023-07-19,2023-06-30,,CAD
COLL,Collegium Pharmaceutical Inc,2023-08-02,2023-06-30,0.34,USD
COLM,Columbia Sportswear Company,2023-07-25,2023-06-30,0.02,USD
COMM,CommScope Holding Company Inc,2023-08-02,2023-06-30,0.37,USD
COMP,Compass Inc - Class A,2023-08-14,2023-06-30,-0.07,USD
COMS,COMSovereign Holding Corp,2023-08-14,2023-06-30,,USD
CONN,Conns Inc,2023-08-28,2023-07-31,-1.53,USD
CONXF,CONXF,2023-08-02,2023-06-30,,USD
COO,Cooper Companies Inc,2023-08-30,2023-07-31,3.34,USD
COOK,Traeger Inc,2023-08-11,2023-06-30,-0.02,USD
COOP,Mr. Cooper Group Inc,2023-07-25,2023-06-30,1.2,USD
COP,Conoco Phillips,2023-08-03,2023-06-30,2.11,USD
CORBF,CORBF,2023-07-03,2023-06-30,,CNY
CORR,CorEnergy Infrastructure Trust Inc,2023-08-09,2023-06-30,,USD
CORT,Corcept Therapeutics Inc,2023-08-01,2023-06-30,0.15,USD
CORZQ,CORZQ,2023-08-11,2023-06-30,-0.1794,USD
COSG,COSG,2023-08-14,2023-06-30,,USD
COSM,Cosmos Health Inc,2023-08-18,2023-06-30,,USD
COSO,COSO,2023-08-07,2023-06-30,,USD
COTY,Coty Inc - Class A,2023-08-23,2023-06-30,0.01,USD
COUP,COUP,2023-09-04,2023-07-31,,USD
COUR,Coursera Inc,2023-07-25,2023-06-30,-0.1,USD
COWN,COWN,2023-08-01,2023-06-30,,USD
COYA,Coya Therapeutics Inc,2023-08-30,2023-06-30,-0.32,USD
CP,Canadian Pacific Kansas City Ltd,2023-07-26,2023-06-30,0.8,CAD
CPA,Copa Holdings S.A. - Class A,2023-08-01,2023-06-30,3.02,USD
CPAC,Cementos Pacasmayo S.A.A.,2023-07-20,2023-06-30,0.1272,PEN
CPB,Campbell Soup Company,2023-08-30,2023-07-31,0.51,USD
CPE,Callon Petroleum Company,2023-08-01,2023-06-30,2.02,USD
CPF,Central Pacific Financial Corp,2023-07-25,2023-06-30,0.53,USD
CPG,Crescent Point Energy Corp,2023-07-26,2023-06-30,0.3,CAD
CPHC,Canterbury Park Holding Corp,2023-08-09,2023-06-30,,USD
CPHRF,CPHRF,2023-08-09,2023-06-30,0.08,USD
CPIVF,CPIVF,2023-06-26,2023-04-30,,CAD
CPIX,Cumberland Pharmaceuticals Inc,2023-08-07,2023-06-30,,USD
CPK,Chesapeake Utilities Corp,2023-08-01,2023-06-30,0.97,USD
CPKF,CPKF,2023-07-25,2023-06-30,0.8,USD
CPLFF,CPLFF,2023-08-08,2023-06-30,,CAD
CPLP,Capital Product Partners L P,2023-07-27,2023-06-30,0.73,USD
CPMV,CPMV,2023-08-15,2023-05-31,0,USD
CPNG,Coupang Inc - Class A,2023-08-08,2023-06-30,0.05,USD
CPPMF,CPPMF,2023-07-24,2023-06-30,,CAD
CPRI,Capri Holdings Ltd,2023-08-07,2023-06-30,0.71,USD
CPRT,Copart Inc,2023-09-05,2023-07-31,0.65,USD
CPRX,Catalyst Pharmaceuticals Inc,2023-08-07,2023-06-30,0.28,USD
CPS,Cooper-Standard Holdings Inc,2023-08-02,2023-06-30,-1.86,USD
CPSH,CPS Technologies Corporation,2023-08-02,2023-06-30,,USD
CPSI,Computer Programs & Systems Inc,2023-07-31,2023-06-30,0.58,USD
CPSS,Consumer Portfolio Service Inc,2023-07-24,2023-06-30,0.24,USD
CPT,Camden Property Trust,2023-07-26,2023-06-30,0.35,USD
CPTK,Crown PropTech Acquisitions - Class A,2023-08-30,2023-06-30,-0.27,USD
CPTN,Cepton Inc,2023-08-07,2023-06-30,-0.1,USD
CPTP,CPTP,2023-08-07,2023-06-30,0,USD
CPXGF,CPXGF,2023-08-09,2023-06-30,,CAD
CPXWF,CPXWF,2023-07-31,2023-06-30,,CAD
CQP,Cheniere Energy Partners LP,2023-08-02,2023-06-30,0.86,USD
CR,Crane Company,2023-08-24,2023-06-30,1.93,USD
CRAI,CRA International Inc,2023-08-02,2023-06-30,1.36,USD
CRARY,CRARY,2023-08-04,2023-06-30,0.2222,EUR
CRAWA,CRAWA,2023-08-08,2023-06-30,0.6,USD
CRBG,Corebridge Financial Inc,2023-08-30,2023-06-30,0.9645,USD
CRBKF,CRBKF,2023-08-28,2023-06-30,,CAD
CRBP,Corbus Pharmaceuticals Holdings Inc,2023-08-07,2023-06-30,-3.1,USD
CRBU,Caribou Biosciences Inc,2023-08-31,2023-06-30,-0.497,USD
CRC,California Resources Corporation - New,2023-08-02,2023-06-30,0.81,USD
CRCT,Cricut Inc - Class A,2023-08-07,2023-06-30,0.06,USD
CRCUF,CRCUF,2023-08-12,2023-06-30,,USD
CRD-B,Crawford & Co. - Class B,2023-08-07,2023-06-30,0.23,USD
CRDB,CRDB,2023-08-07,2023-06-30,0.2133,USD
CRDE,CRDE,2023-08-02,2023-06-30,,USD
CRDF,Cardiff Oncology Inc,2023-08-02,2023-06-30,-0.27,USD
CRDL,Cardiol Therapeutics Inc - Class A,2023-08-08,2023-06-30,-0.09,CAD
