symbol,name,reportDate,fiscalDateEnding,estimate,currency
ACNB,ACNB Corp,2023-07-27,2023-06-30,1.04,USD
ACNT,Ascent Industries Company,2023-08-07,2023-06-30,-0.39,USD
ACON,Aclarion Inc,2023-08-30,2023-06-30,-0.09,USD
ACOR,Acorda Therapeutics Inc,2023-08-02,2023-06-30,,USD
ACR,ACRES Commercial Realty Corp,2023-08-02,2023-06-30,0.44,USD
ACRE,Ares Commercial Real Estate Corp,2023-07-27,2023-06-30,0.29,USD
ACRHF,ACRHF,2023-08-07,2023-06-30,,USD
ACRS,Aclaris Therapeutics Inc,2023-08-01,2023-06-30,-0.45,USD
ACRV,Acrivon Therapeutics Inc,2023-08-30,2023-06-30,-0.64,USD
ACRX,Acelrx Pharmaceuticals Inc,2023-08-09,2023-06-30,-0.5,USD
ACSAY,ACSAY,2023-07-26,2023-06-30,0.1171,EUR
ACST,Acasti Pharma Inc - Class A,2023-08-09,2023-06-30,-0.1167,CAD
ACT,Enact Holdings Inc,2023-07-31,2023-06-30,0.8507,USD
ACTG,Acacia Research Corp,2023-08-09,2023-06-30,0.01,USD
ACU,Acme United Corp,2023-07-20,2023-06-30,0.52,USD
ACUR,ACUR,2023-08-07,2023-06-30,,USD
ACUS,ACUS,2023-08-15,2023-06-30,0,USD
ACVA,ACV Auctions Inc - Class A,2023-08-08,2023-06-30,-0.14,USD
ACWRF,ACWRF,2023-08-17,2023-06-30,,CAD
ACXP,Acurx Pharmaceuticals Inc,2023-08-14,2023-06-30,-0.27,USD
ADAG,Adagene Inc,2023-08-24,2023-06-30,-0.38,USD
ADAP,Adaptimmune Therapeutics Plc,2023-08-02,2023-06-30,-0.13,USD
ADBE,Adobe Inc,2023-09-13,2023-08-31,3.98,USD
ADC,Agree Realty Corp,2023-07-31,2023-06-30,0.44,USD
ADCOF,ADCOF,2023-08-08,2023-06-30,,USD
ADCT,Adc Therapeutics SA,2023-08-07,2023-06-30,-0.46,USD
ADDYY,ADDYY,2023-08-03,2023-06-30,-0.769,EUR
ADEA,Adeia Inc,2023-08-07,2023-06-30,0.25,USD
ADER,26 Capital Acquisition Corp - Class A,2023-08-13,2023-06-30,,USD
ADERY,ADERY,2023-08-11,2023-06-30,0,USD
ADES,Advanced Emissions Solutions Inc,2023-08-14,2023-06-30,-0.16,USD
ADFJF,ADFJF,2023-09-06,2023-07-31,,CAD
ADFS,ADFS,2023-08-22,2023-06-30,0,USD
ADI,Analog Devices Inc,2023-08-15,2023-07-31,2.52,USD
ADIL,Adial Pharmaceuticals Inc,2023-08-14,2023-06-30,-0.06,USD
ADM,Archer Daniels Midland Company,2023-07-24,2023-06-30,1.58,USD
ADMA,Adma Biologics Inc,2023-08-08,2023-06-30,-0.02,USD
ADMP,Adamis Pharmaceuticals Corp,2023-08-08,2023-06-30,,USD
ADN,Advent Technologies Holdings Inc - Class A,2023-08-07,2023-06-30,,USD
ADNT,Adient plc,2023-08-01,2023-06-30,0.42,USD
ADOCY,ADOCY,2023-09-18,2023-06-30,-0.6002,EUR
ADOOY,ADOOY,2023-08-28,2023-06-30,0.6369,USD
ADP,Automatic Data Processing Inc,2023-07-25,2023-06-30,1.83,USD
ADPT,Adaptive Biotechnologies Corp,2023-08-01,2023-06-30,-0.35,USD
ADRNY,ADRNY,2023-08-09,2023-06-30,0.6636,EUR
ADRZY,ADRZY,2023-07-27,2023-06-30,0.2585,EUR
ADSK,Autodesk Inc,2023-08-22,2023-07-31,1.72,USD
ADT,ADT Inc,2023-08-02,2023-06-30,0.06,USD
ADTH,AdTheorent Holding Company Inc,2023-08-07,2023-06-30,-0.01,USD
ADTN,ADTRAN Holdings Inc,2023-08-02,2023-06-30,-0.004,USD
ADTX,Aditxt Inc,2023-08-30,2023-06-30,-2.89,USD
ADUS,Addus HomeCare Corporation,2023-07-31,2023-06-30,1.01,USD
ADV,Advantage Solutions Inc - Class A,2023-08-07,2023-06-30,0.1,USD
ADVM,Adverum Biotechnologies Inc,2023-08-09,2023-06-30,-0.33,USD
ADVZF,ADVZF,2023-08-24,2023-06-30,,USD
ADWPF,ADWPF,2023-08-01,2023-06-30,,CAD
ADXN,Addex Therapeutics Ltd,2023-08-07,2023-06-30,-0.0413,CHF
ADXS,ADXS,2023-09-11,2023-07-31,,USD
ADYEY,ADYEY,2023-08-17,2023-06-30,0.1196,EUR
ADYX,ADYX,2023-08-16,2023-06-30,0,USD
AE,Adams Resources & Energy Inc,2023-08-09,2023-06-30,-0.55,USD
AEBZY,AEBZY,2023-08-10,2023-06-30,0.0428,TRY
AEE,Ameren Corp,2023-08-02,2023-06-30,0.77,USD
AEG,Aegon N. V.,2023-08-17,2023-06-30,-0.1421,USD
AEGXF,AEGXF,2023-07-26,2023-06-30,,CAD
AEHR,Aehr Test Systems,2023-07-17,2023-05-31,0.21,USD
AEIS,Advanced Energy Industries Inc,2023-08-01,2023-06-30,1.05,USD
AEL,American Equity Investment Life Holding Company,2023-08-07,2023-06-30,1.69,USD
AEM,Agnico Eagle Mines Ltd,2023-07-26,2023-06-30,0.55,USD
AEMD,Aethlon Medical Inc,2023-06-28,2023-03-31,-0.13,USD
AEMD,Aethlon Medical Inc,2023-08-07,2023-06-30,-0.22,USD
AEMMY,AEMMY,2023-07-28,2023-06-30,0,EUR
AEO,American Eagle Outfitters Inc,2023-08-31,2023-05-31,0.1292,USD
AEO,American Eagle Outfitters Inc,2023-09-05,2023-08-31,0.12,USD
AEP,American Electric Power Company Inc,2023-07-25,2023-06-30,1.25,USD
AER,Aercap Holdings N.V.,2023-08-10,2023-06-30,2.06,USD
AERG,AERG,2023-08-07,2023-06-30,0,USD
AES,AES Corp,2023-08-02,2023-06-30,0.29,USD
AESI,Atlas Energy Solutions Inc - Class A,2023-07-31,2023-06-30,0.67,USD
AETUF,AETUF,2023-08-02,2023-06-30,0.4591,CAD
AEVA,Aeva Technologies Inc,2023-08-01,2023-06-30,-0.16,USD
AEXAY,AEXAY,2023-07-28,2023-06-30,0,EUR
AEY,Addvantage Technologies Group,2023-08-09,2023-06-30,,USD
AEYE,AudioEye Inc,2023-08-07,2023-06-30,-0.16,USD
AEZS,Aeterna Zentaris Inc,2023-08-01,2023-06-30,-0.87,USD
AFBI,Affinity Bancshares Inc,2023-07-24,2023-06-30,,USD
AFCG,AFC Gamma Inc,2023-08-07,2023-06-30,0.52,USD
AFFY,AFFY,2023-08-03,2023-06-30,0,USD
AFG,American Financial Group Inc,2023-08-01,2023-06-30,2.82,USD
AFGVY,AFGVY,2023-08-23,2023-06-30,0,EUR
AFIB,Acutus Medical Inc,2023-08-09,2023-06-30,-0.64,USD
AFL,Aflac Inc,2023-08-01,2023-06-30,1.43,USD
